CiD,State,MM,YYYY,DD,T,CT,BusI,RTruckI,ATruckI,SLimit,RoadU,G,A
20152109,VIC,April,2015,Saturday,18:35,Single vehicle,No,No,No,100,Motorcycle rider,Male,27
20152124,VIC,April,2015,Monday,0:01,Single vehicle,No,No,No,110,Driver,Female,27
20152143,VIC,April,2015,Friday,2:36,Single vehicle,No,No,No,60,Passenger,Male,23
20152154,VIC,April,2015,Monday,16:30,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,56
20152161,VIC,April,2015,Sunday,7:00,Single vehicle,No,No,No,100,Passenger,Male,17
20152161,VIC,April,2015,Sunday,7:00,Single vehicle,No,No,No,100,Driver,Male,44
20152169,VIC,April,2015,Saturday,19:20,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,29
20152186,VIC,April,2015,Monday,15:00,Single vehicle,No,No,No,100,Driver,Male,23
20152191,VIC,April,2015,Monday,9:32,Multiple vehicle,No,No,No,100,Passenger,Female,73
20152225,VIC,April,2015,Thursday,11:30,Multiple vehicle,No,No,No,100,Driver,Male,20
20152225,VIC,April,2015,Thursday,11:30,Multiple vehicle,No,No,No,100,Driver,Male,65
20153009,QLD,April,2015,Tuesday,20:00,Multiple vehicle,No,Yes,Yes,100,Driver,Male,37
20153032,QLD,April,2015,Saturday,23:00,Multiple vehicle,No,No,Yes,100,Driver,Male,30
20153041,QLD,April,2015,Wednesday,18:00,Multiple vehicle,No,No,No,90,Driver,Male,73
20153046,QLD,April,2015,Wednesday,10:00,Single vehicle,No,No,No,110,Driver,Male,79
20153047,QLD,April,2015,Tuesday,20:00,Single vehicle,No,No,No,90,Driver,Male,24
20153051,QLD,April,2015,Saturday,23:00,Single vehicle,No,No,No,100,Driver,Male,52
20153055,QLD,April,2015,Friday,14:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,28
20153058,QLD,April,2015,Thursday,12:00,Multiple vehicle,No,No,No,100,Driver,Female,26
20153060,QLD,April,2015,Sunday,12:00,Pedestrian,No,No,No,50,Pedestrian,Male,4
20153063,QLD,April,2015,Saturday,23:00,Single vehicle,No,No,No,60,Driver,Male,25
20153063,QLD,April,2015,Saturday,23:00,Single vehicle,No,No,No,60,Passenger,Male,23
20153070,QLD,April,2015,Saturday,1:00,Single vehicle,No,No,No,100,Driver,Male,32
20153076,QLD,April,2015,Thursday,16:00,Single vehicle,No,No,No,80,Driver,Male,75
20153093,QLD,April,2015,Monday,19:00,Pedestrian,No,No,No,60,Pedestrian,Male,45
20153109,QLD,April,2015,Saturday,11:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,33
20153119,QLD,April,2015,Friday,16:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,27
20153123,QLD,April,2015,Sunday,18:00,Pedestrian,No,No,No,80,Pedestrian,Male,18
20153146,QLD,April,2015,Wednesday,16:00,Pedestrian,No,No,Yes,-9,Pedestrian,Male,43
20153157,QLD,April,2015,Monday,8:00,Multiple vehicle,No,Yes,No,100,Driver,Male,74
20153168,QLD,April,2015,Saturday,15:00,Single vehicle,No,No,No,80,Motorcycle rider,Male,46
20153176,QLD,April,2015,Friday,6:00,Single vehicle,No,No,No,100,Passenger,Male,20
20153177,QLD,April,2015,Sunday,13:00,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,37
20153178,QLD,April,2015,Monday,22:00,Single vehicle,No,No,No,50,Motorcycle rider,Male,34
20153182,QLD,April,2015,Saturday,19:00,Single vehicle,No,No,No,50,Driver,Female,31
20153185,QLD,April,2015,Monday,14:00,Single vehicle,No,No,Yes,60,Passenger,Female,73
20153190,QLD,April,2015,Thursday,1:00,Single vehicle,No,No,Yes,100,Driver,Male,41
20153190,QLD,April,2015,Thursday,1:00,Single vehicle,No,No,Yes,100,Passenger,Female,40
20153211,QLD,April,2015,Sunday,23:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,45
20153218,QLD,April,2015,Wednesday,6:00,Multiple vehicle,No,No,No,80,Driver,Female,34
20154005,SA,April,2015,Wednesday,21:35,Single vehicle,No,No,No,100,Driver,Male,43
20154018,SA,April,2015,Monday,14:35,Multiple vehicle,No,No,Yes,100,Passenger,Male,12
20154030,SA,April,2015,Friday,15:45,Single vehicle,No,No,No,100,Passenger,Female,2
20154035,SA,April,2015,Monday,13:15,Multiple vehicle,No,No,No,100,Driver,Male,76
20154043,SA,April,2015,Tuesday,16:00,Pedestrian,No,No,No,50,Pedestrian,Female,84
20154049,SA,April,2015,Sunday,14:38,Multiple vehicle,No,No,No,110,Passenger,Female,88
20154064,SA,April,2015,Thursday,18:15,Single vehicle,No,No,No,100,Driver,Female,24
20154065,SA,April,2015,Sunday,9:01,Single vehicle,No,No,No,60,Passenger,Female,8
20154073,SA,April,2015,Tuesday,7:00,Multiple vehicle,No,No,No,60,Driver,Male,31
20155009,WA,April,2015,Monday,23:30,Multiple vehicle,No,No,No,110,Passenger,Female,22
20155021,WA,April,2015,Friday,9:30,Single vehicle,No,No,No,110,Passenger,Male,33
20155028,WA,April,2015,Sunday,0:15,Pedestrian,No,No,No,50,Pedestrian,Male,22
20155036,WA,April,2015,Sunday,7:45,Single vehicle,No,No,No,80,Driver,Male,54
20155036,WA,April,2015,Sunday,7:45,Single vehicle,No,No,No,80,Passenger,Female,50
20155044,WA,April,2015,Saturday,12:43,Multiple vehicle,No,Yes,No,60,Motorcycle rider,Female,42
20155066,WA,April,2015,Sunday,8:42,Single vehicle,No,No,No,60,Driver,Male,78
20155066,WA,April,2015,Sunday,8:42,Single vehicle,No,No,No,60,Passenger,Female,78
20155092,WA,April,2015,Thursday,12:34,Single vehicle,No,No,No,60,Driver,Male,78
20155107,WA,April,2015,Thursday,13:25,Multiple vehicle,No,No,Yes,60,Driver,Male,61
20155112,WA,April,2015,Sunday,15:00,Single vehicle,No,No,No,110,Passenger,Female,18
20155112,WA,April,2015,Sunday,15:00,Single vehicle,No,No,No,110,Passenger,Male,19
20155136,WA,April,2015,Monday,18:55,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,17
20155141,WA,April,2015,Friday,9:15,Single vehicle,No,No,No,90,Driver,Female,57
20157026,NT,April,2015,Wednesday,19:53,Pedestrian,No,No,No,60,Pedestrian,Female,36
20157040,NT,April,2015,Sunday,18:00,Single vehicle,No,No,No,80,Driver,Male,61
20158006,ACT,April,2015,Wednesday,19:10,Multiple vehicle,Yes,No,No,80,Motorcycle rider,Male,23
20151022,NSW,March,2015,Wednesday,8:00,Pedestrian,No,No,No,50,Pedestrian,Female,90
20151040,NSW,March,2015,Tuesday,23:50,Single vehicle,No,No,No,100,Passenger,Female,29
20151045,NSW,March,2015,Sunday,8:25,Multiple vehicle,No,No,No,60,Bicyclist (includes pillion passengers),Male,47
20151056,NSW,March,2015,Sunday,6:30,Pedestrian,No,No,No,80,Pedestrian,Male,28
20151059,NSW,March,2015,Monday,16:05,Pedestrian,No,No,No,80,Pedestrian,Male,12
20151068,NSW,March,2015,Wednesday,10:45,Pedestrian,No,No,Yes,110,Pedestrian,Male,83
20151069,NSW,March,2015,Friday,1:45,Single vehicle,No,No,Yes,60,Driver,Male,48
20151084,NSW,March,2015,Thursday,18:00,Multiple vehicle,No,No,No,60,Driver,Male,42
20151096,NSW,March,2015,Wednesday,14:00,Multiple vehicle,No,No,Yes,60,Driver,Female,47
20151115,NSW,March,2015,Friday,10:45,Multiple vehicle,No,No,No,100,Passenger,Female,55
20151116,NSW,March,2015,Friday,7:10,Pedestrian,No,No,No,40,Pedestrian,Male,71
20151119,NSW,March,2015,Sunday,10:15,Single vehicle,No,No,No,100,Motorcycle rider,Male,45
20151124,NSW,March,2015,Saturday,21:10,Pedestrian,No,No,No,60,Pedestrian,Male,45
20151128,NSW,March,2015,Sunday,8:29,Single vehicle,No,No,No,100,Driver,Male,40
20151132,NSW,March,2015,Tuesday,19:45,Multiple vehicle,No,Yes,No,100,Motorcycle rider,Male,27
20151147,NSW,March,2015,Sunday,1:30,Single vehicle,No,No,No,110,Driver,Male,22
20151180,NSW,March,2015,Monday,14:25,Pedestrian,No,No,No,60,Pedestrian,Male,34
20151216,NSW,March,2015,Sunday,1:30,Single vehicle,No,No,No,40,Driver,Male,17
20151237,NSW,March,2015,Wednesday,10:55,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,37
20151253,NSW,March,2015,Sunday,0:10,Single vehicle,No,No,No,60,Driver,Male,21
20151265,NSW,March,2015,Thursday,10:35,Pedestrian,No,No,No,50,Pedestrian,Male,60
20151302,NSW,March,2015,Tuesday,12:55,Multiple vehicle,No,No,No,60,Passenger,Female,51
20151306,NSW,March,2015,Tuesday,9:25,Multiple vehicle,No,Yes,No,80,Driver,Female,17
20151322,NSW,March,2015,Friday,18:40,Single vehicle,No,No,No,100,Passenger,Male,46
20152004,VIC,March,2015,Saturday,4:15,Single vehicle,No,No,No,80,Driver,Male,25
20152008,VIC,March,2015,Monday,8:15,Single vehicle,No,No,Yes,80,Driver,Male,52
20152012,VIC,March,2015,Wednesday,7:30,Pedestrian,No,No,No,50,Pedestrian,Male,94
20152016,VIC,March,2015,Thursday,9:58,Pedestrian,No,No,No,70,Pedestrian,Male,54
20152020,VIC,March,2015,Friday,14:50,Single vehicle,No,No,No,100,Driver,Female,44
20152044,VIC,March,2015,Sunday,18:40,Single vehicle,No,No,No,100,Driver,Female,64
20152053,VIC,March,2015,Friday,9:50,Single vehicle,No,No,No,100,Driver,Female,27
20152074,VIC,March,2015,Monday,14:15,Single vehicle,No,No,No,100,Passenger,Male,19
20152074,VIC,March,2015,Monday,14:15,Single vehicle,No,No,No,100,Driver,Female,34
20152081,VIC,March,2015,Saturday,3:49,Pedestrian,No,No,Yes,110,Pedestrian,Male,25
20152089,VIC,March,2015,Sunday,22:00,Single vehicle,No,No,No,100,Driver,Male,44
20152096,VIC,March,2015,Sunday,5:00,Single vehicle,No,No,No,110,Driver,Male,46
20152123,VIC,March,2015,Wednesday,11:11,Multiple vehicle,No,Yes,No,70,Passenger,Male,28
20152123,VIC,March,2015,Wednesday,11:11,Multiple vehicle,No,Yes,No,70,Driver,Male,47
20152140,VIC,March,2015,Monday,6:33,Multiple vehicle,No,No,No,60,Driver,Male,27
20152151,VIC,March,2015,Friday,19:50,Pedestrian,No,No,No,60,Pedestrian,Male,67
20152189,VIC,March,2015,Wednesday,13:00,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,22
20152192,VIC,March,2015,Saturday,12:00,Multiple vehicle,No,No,No,80,Motorcycle pillion passenger,Female,42
20152192,VIC,March,2015,Saturday,12:00,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,47
20152200,VIC,March,2015,Thursday,11:09,Pedestrian,No,Yes,No,50,Pedestrian,Female,88
20152201,VIC,March,2015,Sunday,21:20,Single vehicle,No,No,No,100,Motorcycle rider,Male,47
20152208,VIC,March,2015,Tuesday,20:33,Pedestrian,No,No,No,70,Pedestrian,Male,88
20153006,QLD,March,2015,Sunday,6:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,61
20153013,QLD,March,2015,Tuesday,8:00,Single vehicle,No,No,No,100,Driver,Male,89
20153020,QLD,March,2015,Thursday,10:00,Multiple vehicle,No,No,No,80,Driver,Male,84
20153020,QLD,March,2015,Thursday,10:00,Multiple vehicle,No,No,No,80,Passenger,Female,83
20153025,QLD,March,2015,Sunday,4:00,Pedestrian,No,No,No,60,Pedestrian,Female,20
20153033,QLD,March,2015,Tuesday,16:00,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,51
20153048,QLD,March,2015,Wednesday,19:00,Multiple vehicle,No,No,No,100,Driver,Female,44
20153049,QLD,March,2015,Saturday,1:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,34
20153079,QLD,March,2015,Saturday,17:00,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,33
20153095,QLD,March,2015,Sunday,2:00,Pedestrian,No,No,No,110,Pedestrian,Male,34
20153107,QLD,March,2015,Friday,21:00,Multiple vehicle,No,No,No,80,Driver,Male,41
20153124,QLD,March,2015,Sunday,9:00,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,54
20153124,QLD,March,2015,Sunday,9:00,Multiple vehicle,No,No,No,80,Motorcycle pillion passenger,Female,55
20153125,QLD,March,2015,Sunday,18:00,Single vehicle,No,No,No,110,Driver,Male,17
20153134,QLD,March,2015,Friday,10:00,Multiple vehicle,No,No,Yes,100,Driver,Male,68
20153172,QLD,March,2015,Thursday,17:00,Multiple vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Male,77
20153181,QLD,March,2015,Wednesday,18:00,Single vehicle,No,No,No,50,Driver,Male,25
20153188,QLD,March,2015,Sunday,7:00,Multiple vehicle,No,No,Yes,100,Driver,Male,25
20153188,QLD,March,2015,Sunday,7:00,Multiple vehicle,No,No,Yes,100,Passenger,Female,20
20153202,QLD,March,2015,Monday,5:00,Multiple vehicle,No,No,No,100,Passenger,Female,26
20153206,QLD,March,2015,Friday,4:00,Multiple vehicle,No,No,No,100,Driver,Male,36
20154024,SA,March,2015,Thursday,13:35,Pedestrian,No,No,No,60,Pedestrian,Male,84
20154052,SA,March,2015,Thursday,16:30,Pedestrian,No,No,No,60,Pedestrian,Male,87
20154059,SA,March,2015,Saturday,10:00,Single vehicle,No,No,No,100,Passenger,Female,13
20155001,WA,March,2015,Monday,5:45,Multiple vehicle,No,No,No,70,Bicyclist (includes pillion passengers),Male,65
20155017,WA,March,2015,Wednesday,20:15,Single vehicle,No,No,No,60,Driver,Male,28
20155024,WA,March,2015,Monday,5:45,Single vehicle,No,No,No,40,Driver,Male,42
20155040,WA,March,2015,Sunday,6:06,Multiple vehicle,No,No,No,90,Passenger,Female,35
20155050,WA,March,2015,Friday,10:45,Multiple vehicle,No,No,No,110,Passenger,Female,60
20155050,WA,March,2015,Friday,10:45,Multiple vehicle,No,No,No,110,Passenger,Female,2
20155059,WA,March,2015,Tuesday,8:35,Single vehicle,No,No,No,110,Driver,Male,45
20155064,WA,March,2015,Saturday,22:00,Single vehicle,No,No,No,80,Passenger,Female,15
20155071,WA,March,2015,Friday,15:00,Multiple vehicle,No,No,Yes,80,Motorcycle rider,Male,28
20155072,WA,March,2015,Sunday,14:07,Multiple vehicle,No,No,No,60,Driver,Male,43
20155079,WA,March,2015,Saturday,4:40,Multiple vehicle,No,Yes,No,100,Passenger,Male,62
20155079,WA,March,2015,Saturday,4:40,Multiple vehicle,No,Yes,No,100,Driver,Male,57
20155086,WA,March,2015,Saturday,3:35,Single vehicle,No,No,No,110,Driver,Male,25
20155087,WA,March,2015,Saturday,8:48,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,21
20155093,WA,March,2015,Saturday,15:30,Single vehicle,No,No,No,110,Driver,Female,19
20155093,WA,March,2015,Saturday,15:30,Single vehicle,No,No,No,110,Passenger,Male,54
20155119,WA,March,2015,Sunday,9:00,Single vehicle,No,No,No,110,Driver,Male,41
20155120,WA,March,2015,Thursday,10:28,Multiple vehicle,No,No,No,80,Driver,Male,32
20155125,WA,March,2015,Saturday,8:45,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,23
20155138,WA,March,2015,Monday,18:30,Pedestrian,No,No,No,-9,Pedestrian,Female,2
20156012,TAS,March,2015,Monday,16:00,Single vehicle,No,No,No,80,Driver,Male,27
20156019,TAS,March,2015,Friday,20:35,Single vehicle,No,No,No,100,Driver,Male,23
20156031,TAS,March,2015,Saturday,13:09,Single vehicle,No,No,No,100,Motorcycle rider,Male,67
20157022,NT,March,2015,Tuesday,20:10,Pedestrian,No,No,No,20,Pedestrian,Male,37
20157032,NT,March,2015,Sunday,5:03,Single vehicle,No,No,No,80,Driver,Male,40
20157033,NT,March,2015,Wednesday,2:30,Single vehicle,No,No,No,110,Passenger,Male,38
20157038,NT,March,2015,Friday,22:27,Pedestrian,No,No,No,130,Pedestrian,Male,22
20151016,NSW,February,2015,Monday,10:50,Pedestrian,No,No,No,60,Pedestrian,Male,29
20151037,NSW,February,2015,Monday,10:40,Multiple vehicle,No,No,No,60,Driver,Male,70
20151063,NSW,February,2015,Sunday,8:10,Single vehicle,No,No,No,100,Bicyclist (includes pillion passengers),Male,65
20151065,NSW,February,2015,Sunday,18:00,Multiple vehicle,No,No,No,50,Driver,Male,32
20151130,NSW,February,2015,Friday,14:30,Single vehicle,No,No,No,100,Driver,Male,36
20151142,NSW,February,2015,Wednesday,16:10,Multiple vehicle,Yes,No,No,60,Driver,Male,61
20151161,NSW,February,2015,Wednesday,7:50,Multiple vehicle,No,No,No,100,Driver,Male,45
20151166,NSW,February,2015,Monday,20:50,Multiple vehicle,No,No,No,70,Passenger,Male,25
20151209,NSW,February,2015,Tuesday,6:00,Multiple vehicle,No,Yes,No,100,Motorcycle rider,Male,23
20151238,NSW,February,2015,Thursday,12:30,Single vehicle,No,No,No,100,Motorcycle rider,Male,56
20151254,NSW,February,2015,Saturday,14:15,Multiple vehicle,No,No,No,80,Driver,Male,67
20151269,NSW,February,2015,Monday,23:55,Multiple vehicle,Yes,No,Yes,110,Passenger,Female,26
20151274,NSW,February,2015,Monday,10:20,Single vehicle,No,No,No,100,Driver,Female,33
20151290,NSW,February,2015,Tuesday,6:00,Pedestrian,No,No,No,80,Pedestrian,Male,45
20151299,NSW,February,2015,Thursday,5:00,Single vehicle,No,No,Yes,110,Driver,Male,54
20151311,NSW,February,2015,Tuesday,11:45,Pedestrian,No,No,No,50,Pedestrian,Female,83
20152009,VIC,February,2015,Wednesday,1:52,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,29
20152015,VIC,February,2015,Friday,12:52,Single vehicle,No,No,No,40,Motorcycle rider,Male,43
20152018,VIC,February,2015,Saturday,19:40,Multiple vehicle,No,No,No,100,Passenger,Male,17
20152041,VIC,February,2015,Friday,14:00,Single vehicle,No,No,No,70,Driver,Male,53
20152064,VIC,February,2015,Sunday,6:40,Single vehicle,No,No,No,100,Passenger,Female,29
20152064,VIC,February,2015,Sunday,6:40,Single vehicle,No,No,No,100,Passenger,Male,0
20152064,VIC,February,2015,Sunday,6:40,Single vehicle,No,No,No,100,Driver,Male,39
20152070,VIC,February,2015,Sunday,12:05,Single vehicle,No,No,No,80,Driver,Male,65
20152071,VIC,February,2015,Wednesday,3:30,Single vehicle,No,No,Yes,100,Driver,Male,49
20152094,VIC,February,2015,Friday,23:10,Single vehicle,No,No,No,110,Driver,Male,39
20152098,VIC,February,2015,Saturday,23:22,Single vehicle,No,No,No,50,Driver,Male,42
20152116,VIC,February,2015,Saturday,19:40,Single vehicle,No,No,No,80,Driver,Female,50
20152118,VIC,February,2015,Monday,18:50,Single vehicle,No,No,No,100,Driver,Male,30
20152137,VIC,February,2015,Thursday,10:34,Multiple vehicle,No,No,Yes,100,Driver,Male,65
20152198,VIC,February,2015,Friday,9:59,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,35
20152199,VIC,February,2015,Monday,14:50,Pedestrian,No,No,No,50,Pedestrian,Female,88
20152219,VIC,February,2015,Tuesday,6:16,Pedestrian,No,Yes,No,40,Pedestrian,Female,23
20152222,VIC,February,2015,Friday,16:05,Multiple vehicle,No,Yes,No,40,Bicyclist (includes pillion passengers),Male,26
20152227,VIC,February,2015,Tuesday,1:48,Pedestrian,No,Yes,No,80,Pedestrian,Male,46
20152228,VIC,February,2015,Monday,5:15,Multiple vehicle,No,No,No,100,Passenger,Female,64
20153001,QLD,February,2015,Thursday,10:00,Multiple vehicle,No,No,Yes,100,Driver,Female,50
20153007,QLD,February,2015,Thursday,15:00,Single vehicle,No,No,No,80,Driver,Male,30
20153073,QLD,February,2015,Wednesday,14:00,Single vehicle,No,No,No,100,Passenger,Female,17
20153075,QLD,February,2015,Monday,9:00,Multiple vehicle,No,Yes,No,100,Driver,Male,65
20153091,QLD,February,2015,Tuesday,6:00,Multiple vehicle,No,Yes,No,100,Driver,Male,34
20153142,QLD,February,2015,Saturday,16:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,50
20153145,QLD,February,2015,Sunday,9:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,48
20153153,QLD,February,2015,Friday,7:00,Multiple vehicle,No,No,No,80,Driver,Male,33
20153165,QLD,February,2015,Friday,23:00,Single vehicle,No,No,No,80,Passenger,Male,21
20153200,QLD,February,2015,Wednesday,12:00,Multiple vehicle,No,No,Yes,100,Driver,Female,56
20154007,SA,February,2015,Thursday,16:05,Multiple vehicle,No,No,No,100,Driver,Female,23
20154058,SA,February,2015,Thursday,10:35,Multiple vehicle,No,No,No,60,Passenger,Female,93
20154067,SA,February,2015,Sunday,12:02,Pedestrian,No,No,No,110,Pedestrian,Male,72
20154093,SA,February,2015,Tuesday,7:20,Pedestrian,No,No,No,50,Pedestrian,Male,86
20155023,WA,February,2015,Monday,8:00,Pedestrian,No,No,No,60,Pedestrian,Male,74
20155041,WA,February,2015,Monday,11:50,Single vehicle,No,No,No,60,Other,Male,88
20155046,WA,February,2015,Sunday,7:30,Single vehicle,No,No,No,110,Passenger,Male,30
20155047,WA,February,2015,Friday,14:59,Multiple vehicle,Yes,No,No,80,Driver,Male,64
20155048,WA,February,2015,Monday,5:17,Multiple vehicle,No,Yes,No,100,Bicyclist (includes pillion passengers),Male,25
20155052,WA,February,2015,Thursday,4:05,Single vehicle,No,No,No,110,Passenger,Female,12
20155062,WA,February,2015,Tuesday,18:45,Multiple vehicle,No,No,No,60,Driver,Male,77
20155074,WA,February,2015,Saturday,18:00,Single vehicle,No,No,No,110,Passenger,Male,10
20155083,WA,February,2015,Friday,21:20,Single vehicle,No,No,No,110,Passenger,Female,22
20155083,WA,February,2015,Friday,21:20,Single vehicle,No,No,No,110,Passenger,Male,25
20155105,WA,February,2015,Friday,2:30,Single vehicle,No,No,No,60,Motorcycle pillion passenger,Female,28
20155116,WA,February,2015,Sunday,8:30,Single vehicle,No,No,No,80,Driver,Male,31
20155122,WA,February,2015,Saturday,11:19,Single vehicle,No,No,No,110,Driver,Male,55
20155132,WA,February,2015,Monday,9:23,Single vehicle,No,No,No,50,Driver,Female,79
20156008,TAS,February,2015,Sunday,15:00,Single vehicle,No,No,No,70,Motorcycle rider,Male,49
20156008,TAS,February,2015,Sunday,15:00,Single vehicle,No,No,No,70,Motorcycle pillion passenger,Female,49
20156010,TAS,February,2015,Sunday,11:11,Single vehicle,No,No,No,100,Motorcycle rider,Male,57
20156025,TAS,February,2015,Friday,14:22,Multiple vehicle,No,No,No,110,Driver,Female,78
20156029,TAS,February,2015,Saturday,22:20,Single vehicle,No,No,No,80,Driver,Male,26
20157001,NT,February,2015,Sunday,12:30,Single vehicle,No,No,No,110,Passenger,Female,60
20157006,NT,February,2015,Thursday,5:50,Multiple vehicle,No,No,No,110,Driver,Female,19
20157006,NT,February,2015,Thursday,5:50,Multiple vehicle,No,No,No,110,Driver,Male,25
20151004,NSW,January,2015,Sunday,15:30,Single vehicle,No,No,No,100,Driver,Male,7
20151006,NSW,January,2015,Thursday,12:40,Multiple vehicle,No,No,No,80,Driver,Female,45
20151006,NSW,January,2015,Thursday,12:40,Multiple vehicle,No,No,No,80,Passenger,Female,15
20151019,NSW,January,2015,Saturday,15:25,Multiple vehicle,No,No,Yes,110,Driver,Male,76
20151019,NSW,January,2015,Saturday,15:25,Multiple vehicle,No,No,Yes,110,Passenger,Female,73
20151020,NSW,January,2015,Monday,10:45,Multiple vehicle,No,Yes,No,70,Driver,Male,29
20151020,NSW,January,2015,Monday,10:45,Multiple vehicle,No,Yes,No,70,Driver,Male,52
20151029,NSW,January,2015,Saturday,18:15,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,20
20151031,NSW,January,2015,Sunday,14:32,Single vehicle,No,No,No,100,Driver,Male,33
20151033,NSW,January,2015,Wednesday,14:30,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,51
20151034,NSW,January,2015,Friday,22:55,Pedestrian,No,No,No,60,Pedestrian,Male,66
20151047,NSW,January,2015,Friday,23:59,Single vehicle,No,No,No,50,Passenger,Female,17
20151048,NSW,January,2015,Thursday,14:15,Single vehicle,No,No,No,60,Motorcycle rider,Male,55
20151051,NSW,January,2015,Sunday,10:30,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,52
20151051,NSW,January,2015,Sunday,10:30,Multiple vehicle,No,No,No,100,Motorcycle pillion passenger,Female,47
20151074,NSW,January,2015,Sunday,15:10,Single vehicle,No,No,No,80,Motorcycle rider,Male,53
20151087,NSW,January,2015,Wednesday,2:20,Multiple vehicle,No,No,Yes,100,Driver,Male,50
20151105,NSW,January,2015,Sunday,21:00,Single vehicle,No,No,No,100,Driver,Male,36
20151112,NSW,January,2015,Tuesday,10:10,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,71
20151126,NSW,January,2015,Wednesday,16:10,Single vehicle,No,No,No,80,Passenger,Male,7
20151136,NSW,January,2015,Sunday,12:30,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,43
20151193,NSW,January,2015,Saturday,11:30,Single vehicle,No,No,No,100,Driver,Male,75
20151206,NSW,January,2015,Thursday,23:00,Single vehicle,No,No,No,110,Driver,Male,53
20151217,NSW,January,2015,Sunday,11:00,Multiple vehicle,No,No,No,50,Driver,Female,89
20151220,NSW,January,2015,Monday,14:00,Single vehicle,No,No,No,100,Driver,Female,38
20151221,NSW,January,2015,Saturday,11:50,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,43
20151229,NSW,January,2015,Saturday,17:50,Multiple vehicle,No,No,No,80,Driver,Female,47
20151235,NSW,January,2015,Saturday,6:10,Multiple vehicle,No,Yes,No,100,Driver,Male,27
20151257,NSW,January,2015,Wednesday,10:40,Single vehicle,No,No,No,100,Passenger,Female,4
20151258,NSW,January,2015,Saturday,8:30,Pedestrian,No,No,No,60,Pedestrian,Female,85
20151262,NSW,January,2015,Tuesday,12:09,Multiple vehicle,No,No,No,110,Passenger,Male,84
20151264,NSW,January,2015,Monday,3:30,Single vehicle,No,No,No,80,Motorcycle rider,Male,26
20151267,NSW,January,2015,Thursday,23:25,Pedestrian,No,No,No,50,Pedestrian,Female,81
20151278,NSW,January,2015,Thursday,7:44,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,42
20151280,NSW,January,2015,Thursday,22:10,Single vehicle,No,No,No,110,Driver,Male,49
20151284,NSW,January,2015,Friday,16:20,Multiple vehicle,No,No,No,80,Passenger,Female,62
20151304,NSW,January,2015,Monday,0:16,Single vehicle,No,No,No,60,Motorcycle rider,Male,29
20152005,VIC,January,2015,Tuesday,23:35,Multiple vehicle,No,No,No,50,Driver,Male,22
20152006,VIC,January,2015,Tuesday,23:30,Pedestrian,No,No,No,60,Pedestrian,Male,17
20152026,VIC,January,2015,Saturday,23:59,Single vehicle,No,No,No,40,Motorcycle rider,Male,40
20152031,VIC,January,2015,Wednesday,6:35,Single vehicle,No,No,No,100,Passenger,Male,22
20152031,VIC,January,2015,Wednesday,6:35,Single vehicle,No,No,No,100,Passenger,Male,28
20152031,VIC,January,2015,Wednesday,6:35,Single vehicle,No,No,No,100,Passenger,Male,22
20152031,VIC,January,2015,Wednesday,6:35,Single vehicle,No,No,No,100,Driver,Male,20
20152032,VIC,January,2015,Wednesday,8:35,Multiple vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Male,70
20152038,VIC,January,2015,Saturday,14:21,Single vehicle,No,No,No,50,Motorcycle rider,Male,41
20152061,VIC,January,2015,Wednesday,12:05,Multiple vehicle,No,No,No,100,Driver,Female,73
20152083,VIC,January,2015,Tuesday,9:30,Multiple vehicle,No,No,Yes,100,Passenger,Female,58
20152090,VIC,January,2015,Thursday,21:40,Pedestrian,Yes,No,No,60,Pedestrian,Male,47
20152099,VIC,January,2015,Monday,5:50,Multiple vehicle,No,No,No,80,Driver,Male,60
